id,composition,Natom,Nelem,D,Nmag,CS,SG,E,M,MR,MSVL,dmean,dstd,ehull
mp-754915,Na2 Fe2 O6,10,3,11.772311852213567,2,5,148,2.6386000000000003,25.368000000000002,2.0,6.917336007959853,3.314503084984523,1.1793493331979206,0.056076806499998355
mp-1183132,Al1 Si1 O3,5,3,9.016137974486671,0,1,221,3.164,20.613999999999997,0.5,3.559018,2.3520361573515993,0.4097560499327918,1.0382708893333277
mp-776168,Ag4 Ru4 O12,20,3,13.27683917322469,4,1,227,3.498,51.4,0.0,10.203008,4.910964314711101,2.2835951170157474,0.05777726300000019
mp-1016825,Hf1 Mg1 O3,5,3,13.5082533695906,0,1,221,3.15,50.162,0.5,4.072456,2.691350187389742,0.46886907683105233,0.5895044664999993
mp-1184964,La1 Mg1 O3,5,3,12.286595734640441,3,1,221,2.7560000000000002,42.242000000000004,0.5,3.945789,2.6076401966160914,0.4542856806310787,0.21037141650000013
mp-1183436,Be1 In1 O3,5,3,8.997341137630647,3,1,221,2.728,34.36244,0.5,3.556543,2.3504005124941,0.4094710987963874,0.7108048792500004
mp-8020,La1 Ti1 O3,5,3,12.409837563997788,0,1,221,3.4240000000000004,46.954,0.5,3.958938,2.6163299316590205,0.4557995483048489,0.06758425174999161
mp-1386773,Al2 Co2 O6,10,3,9.691991245037583,2,3,194,3.116,26.782,2.0,11.266135,4.548739569860485,2.349135206534106,0.2868017218181791
mp-21434,Co2 C2 O6,10,3,9.216431121165972,2,5,167,3.9120000000000004,23.788,0.5,8.511620373676319,4.268279510264339,2.1302425518807535,0.0
mp-8218,Pr2 Al2 O6,10,3,10.622475005987331,0,1,221,2.978,43.176,0.5,7.517878749860387,3.794131425354883,1.8713872562016216,0.011265760999998875
mp-1180739,La4 Ga4 O12,20,3,12.179005063519696,0,2,62,3.016,51.324,0.0,7.850523,4.5924120067177405,1.6464806470720612,0.0375457616428605
mp-1183282,Ba1 Be1 O3,5,3,11.809892440380157,3,1,221,2.604,38.86244000000001,2.0,3.894084,2.5734700885930737,0.4483327923451035,0.5173108549999981
mp-559736,V4 Ag4 O12,20,3,12.446404258540241,0,7,8,3.2120000000000006,41.368,0.0,12.964666204054769,6.941718574126973,3.714805919480801,0.0
mp-1199914,Mn8 Se8 O24,40,3,14.76993526350025,8,7,14,2.636,36.382,0.5,13.788454362104853,6.3821646119435895,2.8062436814744185,0.007921510250000097
mp-1016882,Cd1 Os1 O3,5,3,12.259954228684448,0,1,221,3.4260000000000006,70.12,0.5,3.942935,2.605754083313747,0.45395709455297845,0.3595730851999992
mp-1377563,Ca4 Sb4 O12,20,3,13.68745085609,0,2,62,2.478,41.976,0.5,8.164977,4.69807054413414,1.6686900337946309,0.1190805287999952
mp-556940,Mg16 Si16 O48,80,3,11.19356977642612,0,2,61,2.7880000000000003,20.080000000000002,0.5,18.429241,7.794928968495665,3.7241482833687694,0.10922547466666988
mp-754661,I4 N4 O12,20,3,19.495207998439234,0,2,19,2.7660000000000005,37.782,0.0,12.096245,6.00401659748128,2.6180057994470394,0.0809387324285673
mp-1186764,Sr1 W1 O3,5,3,13.797003095896773,1,1,221,3.684,63.884,0.0,4.101269,2.7103917369974626,0.47218636858588836,0.19504557099999964
mp-1076317,Mg1 Cu1 O3,5,3,10.388885202744559,0,1,221,2.56,27.172000000000004,2.0,3.731181,2.465812935372424,0.4295774812446254,0.4982033776250008
mp-1224772,H16 N16 O48,80,3,10.546898570476458,0,7,4,2.544,12.6036,0.0,16.230303075728223,7.304352276136878,3.2503703578748215,0.0
